OUTPUTAcceleration x: 625 mg 	y: 375 mg 	z: 312 mg
Acceleration x: 437 mg 	y: 312 mg 	z: 1000 mg
Acceleration x: 500 mg 	y: 125 mg 	z: 750 mg
Acceleration x: 500 mg 	y: 125 mg 	z: 750 mg
Acceleration x: 437 mg 	y: 62 mg 	z: 1000 mg
Acceleration x: 562 mg 	y: 0 mg 	z: 812 mg
Acceleration x: 625 mg 	y: 250 mg 	z: 750 mg
Acceleration x: 625 mg 	y: 250 mg 	z: 687 mg
Acceleration x: 687 mg 	y: 187 mg 	z: 500 mg
Acceleration x: 562 mg 	y: -62 mg 	z: 812 mg
Acceleration x: 500 mg 	y: 62 mg 	z: 562 mg
Acceleration x: 812 mg 	y: 937 mg 	z: -125 mg
Acceleration x: 62 mg 	y: 250 mg 	z: 1687 mg
Acceleration x: 625 mg 	y: 750 mg 	z: 2312 mg
Acceleration x: 250 mg 	y: 312 mg 	z: 1250 mg
Acceleration x: 312 mg 	y: 187 mg 	z: 875 mg
Acceleration x: 250 mg 	y: 312 mg 	z: 812 mg
Acceleration x: 250 mg 	y: 375 mg 	z: 812 mg
Acceleration x: 500 mg 	y: 125 mg 	z: 937 mg
Acceleration x: 437 mg 	y: -250 mg 	z: 812 mg
Acceleration x: 437 mg 	y: -62 mg 	z: 875 mg
Acceleration x: 562 mg 	y: 125 mg 	z: 625 mg
Acceleration x: 437 mg 	y: 62 mg 	z: 1062 mg
Acceleration x: 437 mg 	y: 0 mg 	z: 812 mg
Acceleration x: 437 mg 	y: 62 mg 	z: 812 mg
Acceleration x: 1062 mg 	y: -125 mg 	z: 2625 mg
Acceleration x: 375 mg 	y: 0 mg 	z: 875 mg
Acceleration x: 437 mg 	y: -187 mg 	z: 625 mg
Acceleration x: 625 mg 	y: 0 mg 	z: 937 mg
Acceleration x: 562 mg 	y: -62 mg 	z: 1000 mg
Acceleration x: 437 mg 	y: 62 mg 	z: 750 mg
Acceleration x: 500 mg 	y: -187 mg 	z: 1000 mg
Acceleration x: 437 mg 	y: -125 mg 	z: 937 mg
Acceleration x: 562 mg 	y: -125 mg 	z: 750 mg
Acceleration x: 0 mg 	y: 0 mg 	z: 0 mg
Acceleration x: 0 mg 	y: 0 mg 	z: 0 mg
Acceleration x: 375 mg 	y: 125 mg 	z: 562 mg
Acceleration x: 0 mg 	y: 0 mg 	z: 0 mg
Acceleration x: 500 mg 	y: 312 mg 	z: 625 mg
Acceleration x: 62 mg 	y: 1625 mg 	z: -4062 mg
Acceleration x: 500 mg 	y: 250 mg 	z: 375 mg
Acceleration x: 500 mg 	y: -125 mg 	z: 625 mg
Acceleration x: 437 mg 	y: -437 mg 	z: 62 mg
Acceleration x: 375 mg 	y: -250 mg 	z: 1687 mg
Acceleration x: 0 mg 	y: 0 mg 	z: 0 mg
Acceleration x: -125 mg 	y: -1562 mg 	z: 750 mg
Acceleration x: 375 mg 	y: -312 mg 	z: 437 mg
Acceleration x: 62 mg 	y: -62 mg 	z: 1937 mg
Acceleration x: -62 mg 	y: 0 mg 	z: 937 mg
Acceleration x: 312 mg 	y: 0 mg 	z: 375 mg
Acceleration x: 62 mg 	y: 500 mg 	z: 2000 mg
Acceleration x: -125 mg 	y: 0 mg 	z: 1875 mg
Acceleration x: 437 mg 	y: -125 mg 	z: 125 mg
Acceleration x: 187 mg 	y: 0 mg 	z: 1437 mg
Acceleration x: 625 mg 	y: -125 mg 	z: 1625 mg
Acceleration x: 437 mg 	y: -187 mg 	z: 750 mg
Acceleration x: 0 mg 	y: 250 mg 	z: 1250 mg
Acceleration x: -62 mg 	y: -62 mg 	z: 1125 mg
Acceleration x: 0 mg 	y: -62 mg 	z: 1000 mg
Acceleration x: 0 mg 	y: -62 mg 	z: 1000 mg
Acceleration x: 0 mg 	y: -62 mg 	z: 937 mg
Acceleration x: 0 mg 	y: -125 mg 	z: 1250 mg
Acceleration x: 312 mg 	y: 0 mg 	z: 1000 mg
Acceleration x: 375 mg 	y: 62 mg 	z: 625 mg
Acceleration x: 625 mg 	y: 125 mg 	z: 625 mg
Acceleration x: 437 mg 	y: 250 mg 	z: 687 mg
Acceleration x: 0 mg 	y: 0 mg 	z: 0 mg
Acceleration x: 0 mg 	y: 0 mg 	z: 0 mg
Acceleration x: 0 mg 	y: 0 mg 	z: 0 mg
Acceleration x: 0 mg 	y: 0 mg 	z: 0 mg
Acceleration x: 0 mg 	y: 0 mg 	z: 0 mg
Acceleration x: 0 mg 	y: 375 mg 	z: 1250 mg
Acceleration x: 125 mg 	y: 312 mg 	z: 1000 mg
Acceleration x: 187 mg 	y: 250 mg 	z: 937 mg
Acceleration x: 187 mg 	y: 250 mg 	z: 937 mg
Acceleration x: 125 mg 	y: 250 mg 	z: 812 mg
Acceleration x: 187 mg 	y: 62 mg 	z: 1250 mg
Acceleration x: 0 mg 	y: 187 mg 	z: 1187 mg
Acceleration x: -125 mg 	y: 125 mg 	z: 1000 mg
Acceleration x: 0 mg 	y: 0 mg 	z: 0 mg
Acceleration x: 125 mg 	y: 812 mg 	z: 62 mg
Acceleration x: -375 mg 	y: 437 mg 	z: 1562 mg
Acceleration x: 0 mg 	y: 0 mg 	z: 0 mg
Acceleration x: 0 mg 	y: 250 mg 	z: 1687 mg
Acceleration x: 0 mg 	y: 0 mg 	z: 0 mg
Acceleration x: 0 mg 	y: 0 mg 	z: 0 mg
Acceleration x: 0 mg 	y: 0 mg 	z: 0 mg
Acceleration x: 0 mg 	y: 0 mg 	z: 0 mg
Acceleration x: 0 mg 	y: 0 mg 	z: 0 mg
Acceleration x: 0 mg 	y: 0 mg 	z: 0 mg
Acceleration x: 0 mg 	y: 0 mg 	z: 0 mg
Acceleration x: 0 mg 	y: 0 mg 	z: 0 mg
Acceleration x: 0 mg 	y: 0 mg 	z: 0 mg
Acceleration x: 0 mg 	y: 0 mg 	z: 0 mg
Acceleration x: 0 mg 	y: 0 mg 	z: 0 mg
Acceleration x: 0 mg 	y: 0 mg 	z: 0 mg
Acceleration x: 1 mg 	y: 0 mg 	z: 4 mg
Acceleration x: -187 mg 	y: 312 mg 	z: 1375 mg
Acceleration x: -375 mg 	y: 125 mg 	z: 1875 mg
Acceleration x: 0 mg 	y: 0 mg 	z: 0 mg
Acceleration x: 0 mg 	y: 0 mg 	z: 0 mg
Acceleration x: 0 mg 	y: 0 mg 	z: 0 mg
Acceleration x: -125 mg 	y: -187 mg 	z: 1687 mg
Acceleration x: 0 mg 	y: 0 mg 	z: 0 mg
Acceleration x: 125 mg 	y: 375 mg 	z: 1750 mg
Acceleration x: 687 mg 	y: 0 mg 	z: 125 mg
Acceleration x: 0 mg 	y: 0 mg 	z: 0 mg
Acceleration x: 0 mg 	y: 0 mg 	z: 0 mg
Acceleration x: 0 mg 	y: 0 mg 	z: 0 mg
Acceleration x: 0 mg 	y: 0 mg 	z: 0 mg
Acceleration x: 0 mg 	y: 0 mg 	z: 0 mg
Acceleration x: 0 mg 	y: 0 mg 	z: 0 mg
Acceleration x: 0 mg 	y: 0 mg 	z: 0 mg
Acceleration x: -437 mg 	y: 1000 mg 	z: 187 mg
Acceleration x: 0 mg 	y: 0 mg 	z: 0 mg
Acceleration x: 0 mg 	y: 0 mg 	z: 0 mg
Acceleration x: 0 mg 	y: 0 mg 	z: 0 mg
Acceleration x: 0 mg 	y: 0 mg 	z: 0 mg
Acceleration x: 312 mg 	y: 312 mg 	z: 1437 mg
Acceleration x: 0 mg 	y: 0 mg 	z: 0 mg
Acceleration x: 0 mg 	y: 0 mg 	z: 0 mg
Acceleration x: 0 mg 	y: 0 mg 	z: 0 mg
Acceleration x: 0 mg 	y: 0 mg 	z: 0 mg
Acceleration x: 0 mg 	y: 0 mg 	z: 0 mg
Acceleration x: 0 mg 	y: 0 mg 	z: 0 mg
Acceleration x: 0 mg 	y: 0 mg 	z: 0 mg
Acceleration x: 312 mg 	y: 62 mg 	z: 1000 mg
Acceleration x: 250 mg 	y: 125 mg 	z: 937 mg
Acceleration x: 250 mg 	y: 187 mg 	z: 937 mg
Acceleration x: 312 mg 	y: 125 mg 	z: 875 mg
Acceleration x: 312 mg 	y: 125 mg 	z: 875 mg
Acceleration x: 312 mg 	y: 62 mg 	z: 937 mg
Acceleration x: 0 mg 	y: 0 mg 	z: 0 mg
Acceleration x: 312 mg 	y: 62 mg 	z: 812 mg
Acceleration x: 312 mg 	y: 62 mg 	z: 937 mg
Acceleration x: 312 mg 	y: 125 mg 	z: 875 mg
Acceleration x: 312 mg 	y: 125 mg 	z: 875 mg
Acceleration x: 250 mg 	y: 62 mg 	z: 1000 mg
Acceleration x: 250 mg 	y: 125 mg 	z: 875 mg
Acceleration x: 312 mg 	y: 62 mg 	z: 937 mg
Acceleration x: 312 mg 	y: 187 mg 	z: 875 mg
Acceleration x: 0 mg 	y: 0 mg 	z: 0 mg
Acceleration x: 0 mg 	y: 0 mg 	z: 0 mg
Acceleration x: 0 mg 	y: 0 mg 	z: 0 mg
Acceleration x: 0 mg 	y: 0 mg 	z: 0 mg
Acceleration x: 0 mg 	y: 0 mg 	z: 0 mg
Acceleration x: 0 mg 	y: 0 mg 	z: 0 mg
Acceleration x: 0 mg 	y: 0 mg 	z: 0 mg
Acceleration x: 0 mg 	y: 0 mg 	z: 0 mg
Acceleration x: 0 mg 	y: 0 mg 	z: 0 mg
Acceleration x: 0 mg 	y: 0 mg 	z: 0 mg
Acceleration x: 0 mg 	y: 0 mg 	z: 0 mg
Acceleration x: 0 mg 	y: 0 mg 	z: 0 mg
Acceleration x: 0 mg 	y: 0 mg 	z: 0 mg
Acceleration x: 0 mg 	y: 0 mg 	z: 0 mg
Acceleration x: 0 mg 	y: 0 mg 	z: 0 mg
Acceleration x: 0 mg 	y: 0 mg 	z: 0 mg
Acceleration x: 0 mg 	y: 0 mg 	z: 0 mg
Acceleration x: 0 mg 	y: 0 mg 	z: 0 mg
Acceleration x: 0 mg 	y: 0 mg 	z: 0 mg
Acceleration x: 0 mg 	y: 0 mg 	z: 0 mg
Acceleration x: 0 mg 	y: 0 mg 	z: 0 mg
Acceleration x: 0 mg 	y: 0 mg 	z: 0 mg
Acceleration x: 0 mg 	y: 0 mg 	z: 0 mg
Acceleration x: 0 mg 	y: 0 mg 	z: 0 mg
Acceleration x: 0 mg 	y: 0 mg 	z: 0 mg
Acceleration x: 0 mg 	y: 0 mg 	z: 0 mg
Acceleration x: 0 mg 	y: 0 mg 	z: 0 mg
Acceleration x: 0 mg 	y: 0 mg 	z: 0 mg
Acceleration x: 0 mg 	y: 0 mg 	z: 0 mg
Acceleration x: 0 mg 	y: 0 mg 	z: 0 mg
Acceleration x: 0 mg 	y: 0 mg 	z: 0 mg
Acceleration x: 0 mg 	y: 0 mg 	z: 0 mg
Acceleration x: 0 mg 	y: 0 mg 	z: 0 mg
Acceleration x: 0 mg 	y: 0 mg 	z: 0 mg
Acceleration x: 0 mg 	y: 0 mg 	z: 0 mg
Acceleration x: 0 mg 	y: 0 mg 	z: 0 mg
Acceleration x: 0 mg 	y: 0 mg 	z: 0 mg
Acceleration x: 0 mg 	y: 0 mg 	z: 0 mg
Acceleration x: 312 mg 	y: 812 mg 	z: 312 mg
Acceleration x: 0 mg 	y: 0 mg 	z: 0 mg
Acceleration x: 0 mg 	y: 0 mg 	z: 0 mg
Acceleration x: 0 mg 	y: 0 mg 	z: 0 mg
Acceleration x: 0 mg 	y: 0 mg 	z: 0 mg
Acceleration x: 0 mg 	y: 0 mg 	z: 0 mg
Acceleration x: 0 mg 	y: 0 mg 	z: 0 mg
Acceleration x: 0 mg 	y: 0 mg 	z: 0 mg
Acceleration x: 0 mg 	y: 0 mg 	z: 0 mg
Acceleration x: 0 mg 	y: 0 mg 	z: 0 mg
Acceleration x: 0 mg 	y: 0 mg 	z: 0 mg
Acceleration x: 0 mg 	y: 0 mg 	z: 0 mg
Acceleration x: 0 mg 	y: 0 mg 	z: 0 mg
Acceleration x: 0 mg 	y: 0 mg 	z: 0 mg
Acceleration x: 0 mg 	y: 0 mg 	z: 0 mg
Acceleration x: 0 mg 	y: 0 mg 	z: 0 mg
Acceleration x: 0 mg 	y: 0 mg 	z: 0 mg
Acceleration x: 0 mg 	y: 0 mg 	z: 0 mg
Acceleration x: 0 mg 	y: 0 mg 	z: 0 mg
Acceleration x: 0 mg 	y: 0 mg 	z: 0 mg
Acceleration x: 0 mg 	y: 0 mg 	z: 0 mg
Acceleration x: 0 mg 	y: 0 mg 	z: 0 mg
Acceleration x: 0 mg 	y: 0 mg 	z: 0 mg
Acceleration x: 0 mg 	y: 0 mg 	z: 0 mg
Acceleration x: 0 mg 	y: 0 mg 	z: 0 mg
Acceleration x: 0 mg 	y: 0 mg 	z: 0 mg
Acceleration x: 0 mg 	y: 0 mg 	z: 0 mg
Acceleration x: 0 mg 	y: 0 mg 	z: 0 mg
Acceleration x: 0 mg 	y: 0 mg 	z: 0 mg
Acceleration x: 0 mg 	y: 0 mg 	z: 0 mg
Acceleration x: 0 mg 	y: 0 mg 	z: 0 mg
Acceleration x: -250 mg 	y: -500 mg 	z: 2062 mg
Acceleration x: 0 mg 	y: 0 mg 	z: 0 mg
Acceleration x: 0 mg 	y: 0 mg 	z: 0 mg
Acceleration x: 125 mg 	y: 312 mg 	z: 1125 mg
Acceleration x: 0 mg 	y: 0 mg 	z: 0 mg
Acceleration x: 250 mg 	y: -375 mg 	z: 875 mg
Acceleration x: 0 mg 	y: 0 mg 	z: 0 mg
Acceleration x: 0 mg 	y: 0 mg 	z: 0 mg
Acceleration x: 0 mg 	y: 0 mg 	z: 0 mg
Acceleration x: 0 mg 	y: 0 mg 	z: 0 mg
Acceleration x: 0 mg 	y: 0 mg 	z: 0 mg
Acceleration x: 0 mg 	y: 0 mg 	z: 0 mg
Acceleration x: -1250 mg 	y: -312 mg 	z: 3062 mg
Acceleration x: 0 mg 	y: 0 mg 	z: 0 mg
Acceleration x: 0 mg 	y: 0 mg 	z: 0 mg
Acceleration x: 0 mg 	y: 0 mg 	z: 0 mg
Acceleration x: 0 mg 	y: 0 mg 	z: 0 mg
Acceleration x: 62 mg 	y: -125 mg 	z: 2250 mg
Acceleration x: 0 mg 	y: 0 mg 	z: 0 mg
Acceleration x: 812 mg 	y: -187 mg 	z: 1187 mg
Acceleration x: 187 mg 	y: -187 mg 	z: 1312 mg
Acceleration x: 0 mg 	y: 0 mg 	z: 0 mg
Acceleration x: 500 mg 	y: -687 mg 	z: 1687 mg
Acceleration x: 0 mg 	y: 0 mg 	z: 0 mg
Acceleration x: 250 mg 	y: 1250 mg 	z: -312 mg
Acceleration x: 0 mg 	y: 0 mg 	z: 0 mg
Acceleration x: 0 mg 	y: 0 mg 	z: 0 mg
Acceleration x: 1 mg 	y: 0 mg 	z: 4 mg
Acceleration x: 0 mg 	y: 0 mg 	z: 0 mg
Acceleration x: 500 mg 	y: -187 mg 	z: 1312 mg
Acceleration x: 0 mg 	y: 0 mg 	z: 0 mg
Acceleration x: 187 mg 	y: 62 mg 	z: 1125 mg
Acceleration x: 187 mg 	y: 62 mg 	z: 937 mg
Acceleration x: 250 mg 	y: 62 mg 	z: 875 mg
Acceleration x: 250 mg 	y: 125 mg 	z: 1000 mg
Acceleration x: 250 mg 	y: 125 mg 	z: 812 mg
Acceleration x: 187 mg 	y: 187 mg 	z: 937 mg
Acceleration x: 187 mg 	y: 62 mg 	z: 1062 mg
Acceleration x: 0 mg 	y: 0 mg 	z: 0 mg
Acceleration x: 187 mg 	y: 62 mg 	z: 1187 mg
Acceleration x: 312 mg 	y: 125 mg 	z: 875 mg
Acceleration x: 0 mg 	y: 0 mg 	z: 0 mg
Acceleration x: 0 mg 	y: 0 mg 	z: 0 mg
Acceleration x: 0 mg 	y: 0 mg 	z: 0 mg
Acceleration x: 0 mg 	y: 0 mg 	z: 0 mg
Acceleration x: 0 mg 	y: 0 mg 	z: 0 mg
Acceleration x: 0 mg 	y: 0 mg 	z: 0 mg
Acceleration x: 0 mg 	y: 0 mg 	z: 0 mg
Acceleration x: 0 mg 	y: 0 mg 	z: 0 mg
Acceleration x: 0 mg 	y: 0 mg 	z: 0 mg
Acceleration x: 0 mg 	y: 0 mg 	z: 0 mg
Acceleration x: 0 mg 	y: 0 mg 	z: 0 mg
Acceleration x: 0 mg 	y: 0 mg 	z: 0 mg
Acceleration x: 0 mg 	y: 0 mg 	z: 0 mg
Acceleration x: 0 mg 	y: 0 mg 	z: 0 mg
Acceleration x: 0 mg 	y: 0 mg 	z: 0 mg
Acceleration x: 0 mg 	y: 0 mg 	z: 0 mg
Acceleration x: 0 mg 	y: 0 mg 	z: 0 mg
Acceleration x: 0 mg 	y: 0 mg 	z: 0 mg
Acceleration x: 62 mg 	y: -312 mg 	z: 250 mg
Acceleration x: 125 mg 	y: 0 mg 	z: 875 mg
Acceleration x: 1000 mg 	y: -1000 mg 	z: -437 mg
Acceleration x: 187 mg 	y: -125 mg 	z: 1562 mg
Acceleration x: 312 mg 	y: -187 mg 	z: 687 mg
Acceleration x: 125 mg 	y: 0 mg 	z: 1187 mg
Acceleration x: 125 mg 	y: 0 mg 	z: 937 mg
Acceleration x: 187 mg 	y: 0 mg 	z: 875 mg
Acceleration x: 312 mg 	y: 437 mg 	z: 1437 mg
Acceleration x: 250 mg 	y: 0 mg 	z: 375 mg
Acceleration x: -125 mg 	y: 500 mg 	z: -750 mg
Acceleration x: -125 mg 	y: 312 mg 	z: 2125 mg
Acceleration x: -500 mg 	y: 62 mg 	z: 2437 mg
Acceleration x: 187 mg 	y: 0 mg 	z: 312 mg
Acceleration x: 0 mg 	y: 0 mg 	z: 0 mg
Acceleration x: -187 mg 	y: 187 mg 	z: 2312 mg
Acceleration x: 500 mg 	y: -187 mg 	z: -250 mg
Acceleration x: -125 mg 	y: 125 mg 	z: 1937 mg
Acceleration x: 312 mg 	y: -125 mg 	z: 312 mg
Acceleration x: 0 mg 	y: 0 mg 	z: 0 mg
Acceleration x: 187 mg 	y: 0 mg 	z: 750 mg
Acceleration x: 187 mg 	y: 0 mg 	z: 937 mg
Acceleration x: 125 mg 	y: 62 mg 	z: 1125 mg
Acceleration x: 250 mg 	y: -62 mg 	z: 687 mg
Acceleration x: 125 mg 	y: 62 mg 	z: 1250 mg
Acceleration x: 250 mg 	y: 0 mg 	z: 750 mg
Acceleration x: 187 mg 	y: 0 mg 	z: 1125 mg
Acceleration x: 187 mg 	y: 0 mg 	z: 937 mg
Acceleration x: 187 mg 	y: 62 mg 	z: 875 mg
Acceleration x: 250 mg 	y: 0 mg 	z: 875 mg
Acceleration x: 312 mg 	y: 62 mg 	z: 1062 mg
Acceleration x: 250 mg 	y: 62 mg 	z: 1000 mg
Acceleration x: 562 mg 	y: 125 mg 	z: 562 mg
Acceleration x: 250 mg 	y: -62 mg 	z: 1000 mg
Acceleration x: 0 mg 	y: 0 mg 	z: 0 mg
Acceleration x: 0 mg 	y: 0 mg 	z: 0 mg
Acceleration x: 250 mg 	y: 62 mg 	z: 1000 mg
Acceleration x: 0 mg 	y: 0 mg 	z: 0 mg
Acceleration x: 0 mg 	y: 0 mg 	z: 0 mg
Acceleration x: 0 mg 	y: 0 mg 	z: 0 mg
Acceleration x: 0 mg 	y: 0 mg 	z: 0 mg
Acceleration x: 0 mg 	y: 0 mg 	z: 0 mg
Acceleration x: 312 mg 	y: -250 mg 	z: 437 mg
Acceleration x: 0 mg 	y: 0 mg 	z: 0 mg
Acceleration x: 0 mg 	y: 0 mg 	z: 0 mg
Acceleration x: 0 mg 	y: 0 mg 	z: 0 mg
Acceleration x: 0 mg 	y: 0 mg 	z: 0 mg
Acceleration x: 0 mg 	y: 0 mg 	z: 0 mg
Acceleration x: 0 mg 	y: 0 mg 	z: 0 mg
Acceleration x: 0 mg 	y: 0 mg 	z: 0 mg
Acceleration x: 0 mg 	y: 0 mg 	z: 0 mg
Acceleration x: 0 mg 	y: 0 mg 	z: 0 mg
Acceleration x: 0 mg 	y: 0 mg 	z: 0 mg
Acceleration x: 0 mg 	y: 0 mg 	z: 0 mg
Acceleration x: 0 mg 	y: 0 mg 	z: 0 mg
Acceleration x: 0 mg 	y: 0 mg 	z: 0 mg
Acceleration x: 0 mg 	y: 0 mg 	z: 0 mg
Acceleration x: 0 mg 	y: 0 mg 	z: 0 mg
Acceleration x: 0 mg 	y: 0 mg 	z: 0 mg
Acceleration x: 0 mg 	y: 0 mg 	z: 0 mg
Acceleration x: 0 mg 	y: 0 mg 	z: 0 mg
Acceleration x: 0 mg 	y: 0 mg 	z: 0 mg
Acceleration x: 0 mg 	y: 0 mg 	z: 0 mg
Acceleration x: 0 mg 	y: 0 mg 	z: 0 mg
Acceleration x: 0 mg 	y: 0 mg 	z: 0 mg
Acceleration x: -1312 mg 	y: -250 mg 	z: 1875 mg
Acceleration x: 0 mg 	y: 0 mg 	z: 0 mg
Acceleration x: 0 mg 	y: 0 mg 	z: 0 mg
Acceleration x: -125 mg 	y: 187 mg 	z: 812 mg
Acceleration x: 0 mg 	y: 625 mg 	z: 1250 mg
Acceleration x: 500 mg 	y: 0 mg 	z: 500 mg
Acceleration x: 250 mg 	y: 375 mg 	z: 1125 mg
Acceleration x: 500 mg 	y: 312 mg 	z: 562 mg
Acceleration x: 312 mg 	y: 187 mg 	z: 1000 mg
Acceleration x: 500 mg 	y: 62 mg 	z: 812 mg
Acceleration x: 562 mg 	y: 250 mg 	z: 625 mg
Acceleration x: 562 mg 	y: 250 mg 	z: 562 mg
Acceleration x: 250 mg 	y: 62 mg 	z: 937 mg
Acceleration x: 0 mg 	y: -125 mg 	z: 1500 mg
Acceleration x: 62 mg 	y: -125 mg 	z: 1375 mg
Acceleration x: 500 mg 	y: 187 mg 	z: 500 mg
Acceleration x: 812 mg 	y: -125 mg 	z: 875 mg
Acceleration x: 562 mg 	y: 0 mg 	z: 937 mg
Acceleration x: 562 mg 	y: 375 mg 	z: 500 mg
Acceleration x: 500 mg 	y: 312 mg 	z: 750 mg
Acceleration x: 875 mg 	y: 0 mg 	z: 750 mg
Acceleration x: 0 mg 	y: 0 mg 	z: 0 mg
Acceleration x: 0 mg 	y: 0 mg 	z: 0 mg
Acceleration x: 0 mg 	y: 0 mg 	z: 0 mg
Acceleration x: 0 mg 	y: 0 mg 	z: 0 mg
Acceleration x: 0 mg 	y: 0 mg 	z: 0 mg
Acceleration x: 0 mg 	y: 0 mg 	z: 0 mg
Acceleration x: 0 mg 	y: 0 mg 	z: 0 mg
Acceleration x: 0 mg 	y: 0 mg 	z: 0 mg
Acceleration x: 0 mg 	y: 0 mg 	z: 0 mg
Acceleration x: 0 mg 	y: 0 mg 	z: 0 mg
Acceleration x: 0 mg 	y: 0 mg 	z: 0 mg
Acceleration x: 0 mg 	y: 0 mg 	z: 0 mg
Acceleration x: 0 mg 	y: 0 mg 	z: 0 mg
Acceleration x: 0 mg 	y: 0 mg 	z: 0 mg
Acceleration x: 0 mg 	y: 0 mg 	z: 0 mg
Acceleration x: 0 mg 	y: 0 mg 	z: 0 mg
Acceleration x: 0 mg 	y: 0 mg 	z: 0 mg
Acceleration x: 0 mg 	y: 0 mg 	z: 0 mg
Acceleration x: 0 mg 	y: 0 mg 	z: 0 mg
Acceleration x: 0 mg 	y: 0 mg 	z: 0 mg
Acceleration x: 0 mg 	y: 0 mg 	z: 0 mg
Acceleration x: 0 mg 	y: 0 mg 	z: 0 mg
Acceleration x: 0 mg 	y: 0 mg 	z: 0 mg
Acceleration x: 0 mg 	y: 0 mg 	z: 0 mg
Acceleration x: 0 mg 	y: 0 mg 	z: 0 mg
Acceleration x: 0 mg 	y: 0 mg 	z: 0 mg
Acceleration x: -1312 mg 	y: 625 mg 	z: 1750 mg
Acceleration x: 0 mg 	y: 0 mg 	z: 0 mg
Acceleration x: -625 mg 	y: -562 mg 	z: 2875 mg
Acceleration x: 0 mg 	y: 0 mg 	z: 0 mg
Acceleration x: 0 mg 	y: 0 mg 	z: 0 mg
Acceleration x: 0 mg 	y: 0 mg 	z: 0 mg
Acceleration x: 0 mg 	y: 0 mg 	z: 0 mg
Acceleration x: 0 mg 	y: 0 mg 	z: 0 mg
Acceleration x: 0 mg 	y: 0 mg 	z: 0 mg
Acceleration x: 0 mg 	y: 0 mg 	z: 0 mg
Acceleration x: -1312 mg 	y: 375 mg 	z: 2812 mg
Acceleration x: 0 mg 	y: 0 mg 	z: 0 mg
Acceleration x: 0 mg 	y: 0 mg 	z: 0 mg
Acceleration x: 0 mg 	y: 0 mg 	z: 0 mg
Acceleration x: -62 mg 	y: -437 mg 	z: 1875 mg
Acceleration x: 0 mg 	y: 0 mg 	z: 0 mg
Acceleration x: -500 mg 	y: 0 mg 	z: 1187 mg
Acceleration x: 0 mg 	y: 0 mg 	z: 0 mg
Acceleration x: -750 mg 	y: -312 mg 	z: 2375 mg
Acceleration x: 0 mg 	y: 0 mg 	z: 0 mg
Acceleration x: 0 mg 	y: 0 mg 	z: 0 mg
Acceleration x: 0 mg 	y: 0 mg 	z: 0 mg
Acceleration x: -125 mg 	y: 687 mg 	z: -62 mg
Acceleration x: -312 mg 	y: 187 mg 	z: 2687 mg
Acceleration x: 187 mg 	y: 125 mg 	z: -812 mg
Acceleration x: -375 mg 	y: 1000 mg 	z: 1812 mg
Acceleration x: 437 mg 	y: -687 mg 	z: 375 mg
Acceleration x: 0 mg 	y: 0 mg 	z: 0 mg
Acceleration x: 0 mg 	y: -687 mg 	z: 1375 mg
Acceleration x: 0 mg 	y: 0 mg 	z: 0 mg
Acceleration x: -375 mg 	y: -812 mg 	z: 1500 mg
Acceleration x: 0 mg 	y: 0 mg 	z: 0 mg
Acceleration x: -500 mg 	y: -187 mg 	z: 1812 mg
Acceleration x: 0 mg 	y: 0 mg 	z: 0 mg
Acceleration x: -812 mg 	y: -250 mg 	z: 1875 mg
Acceleration x: 0 mg 	y: 0 mg 	z: 0 mg
Acceleration x: -125 mg 	y: 187 mg 	z: 2625 mg
Acceleration x: 0 mg 	y: 0 mg 	z: 0 mg
Acceleration x: -1062 mg 	y: -437 mg 	z: 2937 mg
Acceleration x: 0 mg 	y: 0 mg 	z: 0 mg
Acceleration x: -2187 mg 	y: -625 mg 	z: 2562 mg
Acceleration x: 0 mg 	y: 0 mg 	z: 0 mg
Acceleration x: 0 mg 	y: 0 mg 	z: 0 mg
Acceleration x: 0 mg 	y: 0 mg 	z: 0 mg
Acceleration x: 0 mg 	y: 0 mg 	z: 0 mg
Acceleration x: 0 mg 	y: 0 mg 	z: 0 mg
Acceleration x: 0 mg 	y: 0 mg 	z: 0 mg
Acceleration x: 0 mg 	y: 0 mg 	z: 0 mg
Acceleration x: 0 mg 	y: 0 mg 	z: 0 mg
Acceleration x: 0 mg 	y: 0 mg 	z: 0 mg
Acceleration x: 0 mg 	y: 0 mg 	z: 0 mg
Acceleration x: 0 mg 	y: 0 mg 	z: 0 mg
Acceleration x: 0 mg 	y: 0 mg 	z: 0 mg
Acceleration x: 0 mg 	y: 0 mg 	z: 0 mg
Acceleration x: 0 mg 	y: 0 mg 	z: 0 mg
Acceleration x: 0 mg 	y: 0 mg 	z: 0 mg
Acceleration x: 0 mg 	y: 0 mg 	z: 0 mg
Acceleration x: 0 mg 	y: 0 mg 	z: 0 mg
Acceleration x: 0 mg 	y: 0 mg 	z: 0 mg
Acceleration x: 0 mg 	y: 0 mg 	z: 0 mg
Acceleration x: 0 mg 	y: 0 mg 	z: 0 mg
Acceleration x: 0 mg 	y: 0 mg 	z: 0 mg
Acceleration x: 0 mg 	y: 0 mg 	z: 0 mg
Acceleration x: 0 mg 	y: 0 mg 	z: 0 mg
Acceleration x: 0 mg 	y: 0 mg 	z: 0 mg
Acceleration x: 0 mg 	y: 0 mg 	z: 0 mg
Acceleration x: 0 mg 	y: 0 mg 	z: 0 mg
